stt,id,title,group,topic,difficulty
1,CHELLO,Hello World,CÁC MÔ HÌNH THUẬT TOÁN,,1
2,CTDL_001,THUẬT TOÁN SINH,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
3,CTDL_002,Tổng dãy con = K,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
4,CTDL_005,XÓA DỮ LIỆU TRONG DSLK ĐƠN,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,SORTING AND SEARCHING,1
5,CTDL_006,LỌC DỮ LIỆU TRÙNG TRONG DSLK ĐƠN,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,SORTING AND SEARCHING,1
6,DSA_P039,CHỌN Ô - 1,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
7,DSA01001,XÂU NHỊ PHÂN KẾ TIẾP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
8,DSA01002,TẬP CON KẾ TIẾP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
9,DSA01003,HOÁN VỊ KẾ TIẾP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
10,DSA01004,SINH TỔ HỢP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
11,DSA01005,SINH HOÁN VỊ,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
12,DSA01006,HOÁN VỊ NGƯỢC,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
13,DSA01007,XÂU AB CÓ ĐỘ DÀI N,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
14,DSA01008,XÂU NHỊ PHÂN CÓ K BIT 1,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
15,DSA01019,HAHAHA,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
16,DSA01020,XÂU NHỊ PHÂN TRƯỚC,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
17,DSA01021,TỔ HỢP TIẾP THEO,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
18,DSA01022,SỐ THỨ TỰ HOÁN VỊ,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
19,DSA01023,SỐ THỨ TỰ TỔ HỢP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
20,DSA01024,ĐẶT TÊN - 1,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
21,DSA01025,ĐẶT TÊN - 2,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
22,DSA01026,PHÁT LỘC,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
23,DSA01027,HOÁN VỊ DÃY SỐ,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
24,DSA01028,LIỆT KÊ TỔ HỢP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
25,DSA02001,DÃY SỐ 1,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
26,DSA02002,DÃY SỐ 2,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
27,DSA02003,DI CHUYỂN TRONG MÊ CUNG 1,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
28,DSA02005,HOÁN VỊ XÂU KÝ TỰ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
29,DSA02006,DÃY CON TỔNG BẰNG K,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
30,DSA02012,DI CHUYỂN TRONG MA TRẬN,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
31,DSA02016,SẮP XẾP QUÂN HẬU 1,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
32,DSA02022,NGÀY ĐẶC BIỆT,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
33,DSA02023,ĐẶT TÊN,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
34,DSA02024,DÃY CON TĂNG DẦN,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
35,DSA02029,THÁP HÀ NỘI,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
36,DSA02030,LIỆT KÊ XÂU KÝ TỰ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
37,DSA02031,GHÉP CHỮ CÁI,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
38,DSA02033,SỐ XA CÁCH,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
39,DSA02034,TRÒ CHƠI VỚI CÁC CON SỐ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
40,DSA03001,ĐỔI TIỀN,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
41,DSA03002,NHẦM CHỮ SỐ,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
42,DSA03003,TÌM MAX,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
43,DSA03004,TỔNG NHỎ NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
44,DSA03005,CHIA MẢNG THÀNH HAI MẢNG CON CÓ TỔNG LỚN NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
45,DSA03006,SẮP XẾP THAM LAM,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
46,DSA03008,SẮP XẾP CÔNG VIỆC 1,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
47,DSA03010,NỐI DÂY 1,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
48,DSA03012,SẮP ĐẶT XÂU KÝ TỰ 1,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
49,DSA03013,SẮP ĐẶT XÂU KÝ TỰ 2,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
50,DSA03015,MUA LƯƠNG THỰC,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
51,DSA03022,TÍCH LỚN NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
52,DSA03024,LỰA CHỌN TỐI ƯU,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
53,DSA03025,TRỤC TỌA ĐỘ,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
54,DSA03034,DÃY CON CHUNG,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
55,DSA03035,SẮP XẾP ĐƠN GIẢN,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,1
56,DSA04001,LŨY THỪA,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
57,DSA04002,LŨY THỪA ĐẢO,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
58,DSA04003,ĐẾM DÃY,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
59,DSA04004,GẤP ĐÔI DÃY SỐ,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
60,DSA04005,DÃY XÂU FIBONACCI,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
61,DSA04010,DÃY CON LIÊN TIẾP CÓ TỔNG LỚN NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
62,DSA04015,TÍNH FLOOR(X),CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
63,DSA04016,PHẦN TỬ THỨ K,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
64,DSA04017,PHẦN TỬ KHÁC NHAU,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
65,DSA04018,ĐẾM SỐ 0,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
66,DSA04020,TÌM KIẾM NHỊ PHÂN,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
67,DSA04021,DÃY XÂU NHỊ PHÂN,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
68,DSA04022,KÝ TỰ THỨ K TRONG XÂU,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
69,DSA04024,LŨY THỪA MA TRẬN 2,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
70,DSA04025,DÃY SỐ VÔ HẠN,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
71,DSA04035,TÍNH LŨY THỪA,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,1
72,DSA05001,XÂU CON CHUNG DÀI NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
73,DSA05004,DÃY CON TĂNG DÀI NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
74,DSA05005,SỐ BƯỚC ÍT NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
75,DSA05008,DÃY CON CÓ TỔNG BẰNG S,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
76,DSA05009,TẬP CON BẰNG NHAU,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
77,DSA05012,"TỔ HỢP C(n, k)",CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
78,DSA05013,BẬC THANG,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
79,DSA05025,CON ẾCH,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
80,DSA05026,XEM PHIM,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
81,DSA05027,CÁI TÚI,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
82,DSA05029,GIẢI MÃ,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
83,DSA05034,TỔNG SỐ CÁCH DI CHUYỂN,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
84,DSA06001,SẮP XẾP XEN KẼ,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
85,DSA06002,SẮP XẾP THEO GIÁ TRỊ TUYỆT ĐỐI,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
86,DSA06003,ĐỔI CHỖ ÍT NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
87,DSA06004,HỢP VÀ GIAO CỦA HAI DÃY SỐ 1,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
88,DSA06005,HỢP VÀ GIAO CỦA HAI DÃY SỐ 2,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
89,DSA06006,SẮP XẾP [0 1 2],CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
90,DSA06007,SẮP XẾP DÃY CON LIÊN TỤC,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
91,DSA06008,ĐẾM CẶP,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
92,DSA06009,CẶP SỐ TỔNG BẰNG K,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
93,DSA06010,SẮP XẾP CHỮ SỐ,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
94,DSA06011,TỔNG GẦN 0 NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
95,DSA06012,PHẦN TỬ LỚN NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
96,DSA06013,SỐ LẦN XUẤT HIỆN,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
97,DSA06014,TỔNG CẶP SỐ NGUYÊN TỐ,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
98,DSA06015,MERGE SORT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
99,DSA06016,TÍCH LỚN NHẤT - NHỎ NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
100,DSA06017,TRỘN HAI DÃY,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
101,DSA06018,BỔ SUNG PHẦN TỬ,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
102,DSA06019,SẮP XẾP THEO SỐ LẦN XUẤT HIỆN,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
103,DSA06020,TÌM KIẾM,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
104,DSA06021,TÌM KIẾM TRONG DÃY SẮP XẾP VÒNG,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
105,DSA06022,SỐ NHỎ NHẤT VÀ NHỎ THỨ HAI,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
106,DSA06023,SẮP XẾP ĐỔI CHỖ TRỰC TIẾP,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
107,DSA06024,SẮP XẾP CHỌN,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
108,DSA06025,SẮP XẾP CHÈN,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
109,DSA06026,SẮP XẾP NỔI BỌT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
110,DSA06027,SẮP XẾP ĐỔI CHỖ TRỰC TIẾP - LIỆT KÊ NGƯỢC,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
111,DSA06028,SẮP XẾP CHỌN  - LIỆT KÊ NGƯỢC,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
112,DSA06029,SẮP XẾP CHÈN - LIỆT KÊ NGƯỢC,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
113,DSA06030,SẮP XẾP NỔI BỌT - LIỆT KÊ NGƯỢC,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
114,DSA06031,PHẦN TỬ LỚN NHẤT TRONG DÃY CON,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
115,DSA06032,BỘ BA SỐ CÓ TỔNG NHỎ HƠN K,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
116,DSA06033,KHOẢNG CÁCH XA NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
117,DSA06034,CẶP SỐ CÓ TỔNG BẰNG K,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
118,DSA06035,DÃY TAM GIÁC DÀI NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
119,DSA06036,BỘ BA SỐ BẰNG K,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
120,DSA06039,SỐ ĐẦU TIÊN BỊ LẶP,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
121,DSA06040,GIAO CỦA BA DÃY SỐ,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
122,DSA06041,SỐ XUẤT HIỆN NHIỀU NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
123,DSA06043,ĐIỂM CÂN BẰNG,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
124,DSA06044,SẮP XẾP CHẴN LẺ,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
125,DSA06046,CHÊNH LỆCH NHỎ NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
126,DSA06047,BỘ BA SỐ PYTAGO,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
127,DSA06048,SỐ LẦN QUAY VÒNG,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
128,DSA06049,ĐẾM CẶP,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,1
129,DSA07001,NGĂN XẾP 1,CÁC MÔ HÌNH THUẬT TOÁN,STACK,1
130,DSA07002,NGĂN XẾP 2,CÁC MÔ HÌNH THUẬT TOÁN,STACK,1
131,DSA07003,KIỂM TRA BIỂU THỨC SỐ HỌC,CÁC MÔ HÌNH THUẬT TOÁN,STACK,1
132,DSA07004,ĐẾM SỐ DẤU NGOẶC ĐỔI CHIỀU,CÁC MÔ HÌNH THUẬT TOÁN,STACK,1
133,DSA07009,BIẾN ĐỔI TIỀN TỐ - TRUNG TỐ,CÁC MÔ HÌNH THUẬT TOÁN,STACK,1
134,DSA07010,BIẾN ĐỐI TIỀN TỐ - HẬU TỐ,CÁC MÔ HÌNH THUẬT TOÁN,STACK,1
135,DSA07013,TÍNH GIÁ TRỊ BIỂU THỨC HẬU TỐ,CÁC MÔ HÌNH THUẬT TOÁN,STACK,1
136,DSA07014,TÍNH GIÁ TRỊ BIỂU THỨC TIỀN TỐ,CÁC MÔ HÌNH THUẬT TOÁN,STACK,1
137,DSA07021,DÃY NGOẶC ĐÚNG DÀI NHẤT,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,STACK,1
138,DSA07023,ĐẢO TỪ,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,STACK,1
139,DSA07027,PHẦN TỬ BÊN PHẢI ĐẦU TIÊN LỚN HƠN,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,STACK,1
140,DSA07110,KIỂM TRA DÃY NGOẶC ĐÚNG,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,STACK,1
141,DSA08001,CẤU TRÚC DỮ LIỆU HÀNG ĐỢI 1,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
142,DSA08002,CẤU TRÚC DỮ LIỆU HÀNG ĐỢI 2,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
143,DSA08003,HÀNG ĐỢI HAI ĐẦU (DEQUEUE),CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
144,DSA08005,SỐ NHỊ PHÂN TỪ 1 ĐẾN N,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
145,DSA08006,SỐ 0 VÀ SỐ 9,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
146,DSA08007,SỐ BDN 1,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
147,DSA08008,SỐ BDN 2,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
148,DSA08017,SỐ LỘC PHÁT 1,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
149,DSA08018,SỐ LỘC PHÁT 2,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
150,DSA08019,SỐ LỘC PHÁT 3,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,1
151,DSA08021,DI CHUYỂN TRONG MA TRẬN,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,QUEUE,1
152,DSA09001,CHUYỂN DANH SÁCH CẠNH SANG DANH SÁCH KỀ,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,1
153,DSA09002,CHUYỂN TỪ DANH SÁCH KỀ SANG DANH SÁCH CẠNH,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,1
154,DSA09003,BIỂU DIỄN ĐỒ THỊ CÓ HƯỚNG.,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,1
155,DSA09004,DFS TRÊN ĐỒ THỊ VÔ HƯỚNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,1
156,DSA09005,BFS TRÊN ĐỒ THỊ VÔ HƯỚNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,1
157,DSA09013,LIỆT KÊ CẠNH CẦU,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,1
158,DSA09020,CHUYỂN DANH SÁCH KỀ SANG MA TRẬN KỀ,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,1
159,DSA09021,CHUYỂN MA TRẬN KỀ SANG DANH SÁCH KỀ,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,1
160,DSA09022,DFS TRÊN ĐỒ THỊ CÓ HƯỚNG,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,1
161,DSA09024,BFS TRÊN ĐỒ THỊ CÓ HƯỚNG,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,1
162,DSA09025,ĐƯỜNG ĐI THEO DFS VỚI ĐỒ THỊ CÓ HƯỚNG,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,1
163,DSA09026,ĐƯỜNG ĐI THEO BFS TRÊN ĐỒ THỊ CÓ HƯỚNG,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,1
164,DSA09027,KIỂM TRA ĐƯỜNG ĐI,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,1
165,DSA10004,ĐƯỜNG ĐI VÀ CHU TRÌNH EULER VỚI ĐỒ THỊ VÔ HƯỚNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,1
166,DSA10005,CHU TRÌNH EULER TRONG ĐỒ THỊ CÓ HƯỚNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,1
167,DSAKT053,SỐ NGUYÊN LỚN,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
168,DSAKT055,BÀI TOÁN CÁI TÚI 0-1,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
169,DSAKT110,NHÀ KHÔNG KỀ NHAU,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
170,CTDL_003,PHƯƠNG ÁN TỐI ƯU,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
171,CTDL_004,DÃY CON TĂNG DẦN BẬC K,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
172,DSA_P029,HÀNH TRÌNH DU LỊCH - 1,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
173,DSA01009,XÂU AB ĐẶC BIỆT,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
174,DSA01010,TẬP QUÂN SỰ,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
175,DSA01011,HOÁN VỊ TIẾP THEO CỦA CHUỖI SỐ,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
176,DSA01012,MÃ GRAY 1,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
177,DSA01013,MÃ GRAY 2,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
178,DSA01014,TẬP HỢP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
179,DSA01015,TÌM BỘI SỐ,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
