stt,id,title,group,topic,difficulty
180,DSA01016,PHÂN TÍCH SỐ 1,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
181,DSA01017,MÃ GRAY 3,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
182,DSA02004,DI CHUYỂN TRONG MÊ CUNG 2,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
183,DSA02007,ĐỔI CHỖ CÁC CHỮ SỐ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
184,DSA02008,CHỌN SỐ TỪ MA TRẬN VUÔNG CẤP N,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,2
185,DSA02010,TỔ HỢP SỐ CÓ TỔNG BẰNG X,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
186,DSA02013,SỐ NGUYÊN TỐ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
187,DSA02017,SẮP XẾP QUÂN HẬU 2,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
188,DSA02025,KÝ TỰ LẶP,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
189,DSA02026,PHÉP TOÁN CƠ BẢN,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
190,DSA02032,TỔ HỢP SỐ CÓ TỔNG BẰNG X,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
191,DSA02035,HOÁN VỊ CÁC CHỮ SỐ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
192,DSA02036,DÃY CON CÓ TỔNG LẺ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
193,DSA02037,DÃY CON CÓ TỔNG NGUYÊN TỐ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
194,DSA02038,DÃY CON CÓ K PHẦN TỬ TĂNG DẦN,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
195,DSA02039,PHÂN TÍCH SỐ 2,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
196,DSA02041,BIẾN ĐỔI VỀ 1,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,RECURSION AND BACKTRACKING,2
197,DSA02045,TẬP CON CỦA XÂU KÝ TỰ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
198,DSA03007,GIÁ TRỊ NHỎ NHẤT CỦA BIỂU THỨC,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
199,DSA03009,SẮP XẾP CÔNG VIỆC 2,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
200,DSA03011,NỐI DÂY 2,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
201,DSA03016,SỐ NHỎ NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
202,DSA03017,GIÁ TRỊ NHỎ NHẤT CỦA XÂU,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
203,DSA03018,SỐ MAY MẮN,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
204,DSA03019,PHÂN SỐ ĐƠN VỊ,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
205,DSA03020,BIỂU THỨC ĐÚNG,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
206,DSA03021,TÌM DÃY SỐ,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
207,DSA03023,SẮP XẾP VIÊN BI,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
208,DSA03026,LỰA CHỌN THAM LAM,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,2
209,DSA04007,HỆ CƠ SỐ K,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,2
210,DSA04008,SỐ FIBONACCI THỨ N,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,2
211,DSA04009,LŨY THỪA MA TRẬN 1,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,2
212,DSA04011,TÍCH HAI SỐ NHỊ PHÂN,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,2
213,DSA04012,TÍCH ĐA THỨC,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,2
214,DSA04013,SẮP XẾP KANGURU,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,2
215,DSA04014,CẶP NGHỊCH THẾ,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,2
216,DSA04023,KHOẢNG CÁCH NHỎ HƠN K,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,2
217,DSA05003,DÃY CON CHUNG DÀI NHẤT CỦA BA XÂU,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
218,DSA05006,TỔNG LỚN NHẤT CỦA DÃY CON TĂNG DẦN,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
219,DSA05007,TỔNG LỚN NHẤT CỦA DÃY CON KHÔNG KỀ NHAU,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
220,DSA05014,CATALAN NUMBER,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
221,DSA05015,"TÍNH P(N,K)",CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
222,DSA05016,SỐ UGLY,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
223,DSA05017,DÃY SỐ BI-TONIC,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
224,DSA05018,XÂU CON ĐỐI XỨNG DÀI NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
225,DSA05019,HÌNH VUÔNG LỚN NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
226,DSA05020,ĐƯỜNG ĐI NHỎ NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
227,DSA05022,KÝ TỰ GIỐNG NHAU,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
228,DSA05023,TỔNG CÁC XÂU CON,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
229,DSA05024,TỔNG BẰNG K,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
230,DSA05028,BIẾN ĐỔI XÂU,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
231,DSA05031,TỔNG BÌNH PHƯƠNG,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
232,DSA05035,CHỮ SỐ SẮP XẾP TĂNG DẦN,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
233,DSA05036,TĂNG - GIẢM,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
234,DSA05037,CHỮ SỐ SẮP XẾP TĂNG DẦN,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
235,DSA05038,DÃY CON TĂNG DÀI NHẤT 2 CHIỀU,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
236,DSA05040,DÃY TAM GIÁC DÀI NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
237,DSA05041,BIẾN ĐỔI VỀ XÂU ĐỐI XỨNG,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
238,DSA05042,DÃY CON LIÊN TIẾP TỔNG BẰNG K,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
239,DSA05043,SỐ THUẬN NGHỊCH,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
240,DSA05047,CHỌN Ô,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,2
241,DSA06037,SẮP XẾP ĐOẠN CON,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,2
242,DSA06038,CẶP SỐ,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,2
243,DSA07008,BIẾN ĐỔI TRUNG TỐ - HẬU TỐ,CÁC MÔ HÌNH THUẬT TOÁN,STACK,2
244,DSA07011,BIẾN ĐỔI HẬU TỐ - TIỀN TỐ,CÁC MÔ HÌNH THUẬT TOÁN,STACK,2
245,DSA07012,BIẾN ĐỔI HẬU TỐ - TRUNG TỐ,CÁC MÔ HÌNH THUẬT TOÁN,STACK,2
246,DSA07016,BIỂU THỨC TĂNG GIẢM,CÁC MÔ HÌNH THUẬT TOÁN,STACK,2
247,DSA07017,PHẦN TỬ BÊN PHẢI NHỎ HƠN,CÁC MÔ HÌNH THUẬT TOÁN,STACK,2
248,DSA07019,HÌNH CHỮ NHẬT LỚN NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,STACK,2
249,DSA07028,NHỊP CHỨNG KHOÁN,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,STACK,2
250,DSA07029,GIẢI MÃ XÂU KÝ TỰ,CÁC MÔ HÌNH THUẬT TOÁN,STACK,2
251,DSA07041,BIỂU THỨC ĐÚNG DÀI NHẤT,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,STACK,2
252,DSA08004,GIÁ TRỊ NHỎ NHẤT CỦA XÂU,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,2
253,DSA08009,BIẾN ĐỔI S – T,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,2
254,DSA08025,QUÂN MÃ,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,QUEUE,2
255,DSA09006,ĐƯỜNG ĐI THEO DFS VỚI ĐỒ THỊ VÔ HƯỚNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
256,DSA09007,ĐƯỜNG ĐI THEO BFS TRÊN ĐỒ THỊ VÔ HƯỚNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
257,DSA09008,ĐẾM SỐ THÀNH PHẦN LIÊN THÔNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
258,DSA09009,TÌM SỐ THÀNH PHẦN LIÊN THÔNG VỚI BFS,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
259,DSA09010,KIỂM TRA TÍNH LIÊN THÔNG MẠNH,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
260,DSA09011,SỐ LƯỢNG HÒN ĐẢO,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
261,DSA09012,LIỆT KÊ ĐỈNH TRỤ,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
262,DSA09014,KIỂM TRA CHU TRÌNH TRÊN ĐỒ THỊ VÔ HƯỚNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
263,DSA09015,KIỂM TRA CHU TRÌNH TRÊN ĐỒ THỊ CÓ HƯỚNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
264,DSA09016,KIỂM TRA CHU TRÌNH TRÊN ĐỒ THỊ CÓ HƯỚNG VỚI DFS,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
265,DSA09017,KIỂM TRA ĐỒ THỊ CÓ PHẢI LÀ CÂY HAY KHÔNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
266,DSA09018,LIỆT KÊ ĐỈNH TRỤ,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
267,DSA09019,KIỂM TRA CHU TRÌNH,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
268,DSA09028,TÔ MÀU ĐỒ THỊ,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,2
269,DSA09029,ĐƯỜNG ĐI HAMILTON,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,2
270,DSA09030,ĐỒ THỊ HAI PHÍA,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,2
271,DSA09032,KẾT BẠN,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
272,DSA09033,MẠNG XÃ HỘI,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,2
273,DSA10001,TÌM ĐƯỜNG,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
274,DSA10003,KIỂM TRA CHU TRÌNH SỬ DỤNG DISJOIN SET,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
275,DSA10006,CÂY KHUNG CỦA ĐỒ THỊ THEO THUẬT TOÁN DFS,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
276,DSA10007,CÂY KHUNG CỦA ĐỒ THỊ THEO THUẬT TOÁN BFS,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,2
277,DSA11001,CÂY BIỂU THỨC 1,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,2
278,DSA11002,CÂY BIỂU THỨC 2,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,2
279,DSA11003,DUYỆT CÂY 1,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,2
280,DSA11004,DUYỆT CÂY THEO MỨC,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,2
281,DSA11005,DUYỆT CÂY 2,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,2
282,DSA11008,KIỂM TRA NODE LÁ,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,2
283,DSAKT012,ĐỔI TIỀN,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,2
284,TN05009,CHU TRÌNH THEO DFS,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,2
285,DSA01018,TẬP CON LIỀN KỀ PHÍA TRƯỚC,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,3
286,DSA02009,CHIA MẢNG,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,3
287,DSA02011,MÁY ATM,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,3
288,DSA02015,LOẠI BỎ DẤU NGOẶC,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,3
289,DSA02027,NGƯỜI DU LỊCH,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,3
290,DSA02028,CHIA ĐỀU,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,3
291,DSA03014,SỐ KHỐI LẬP PHƯƠNG,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,3
292,DSA03027,GIÁ TRỊ LỚN NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,3
293,DSA04006,ĐẾM SỐ BÍT 1,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,3
294,DSA05010,DÃY CON DÀI NHẤT CÓ TỔNG CHIA HẾT CHO K,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,3
295,DSA05011,SỐ CÓ TỔNG CHỮ SỐ BẰNG K,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,3
296,DSA05021,CẶP SỐ,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,3
297,DSA05030,DI CHUYỂN VỀ GỐC TỌA ĐỘ,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,3
298,DSA05032,XÂU ĐỐI XỨNG 1,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,3
299,DSA05033,XÂU ĐỐI XỨNG 2,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,3
300,DSA05039,TỔNG CHỮ SỐ,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,3
301,DSA05046,LŨY THỪA BẬC K,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,3
302,DSA06045,XÂU TỐT,CÁC MÔ HÌNH THUẬT TOÁN,SORTING AND SEARCHING,3
303,DSA07005,BIỂU THỨC TƯƠNG ĐƯƠNG,CÁC MÔ HÌNH THUẬT TOÁN,STACK,3
304,DSA07006,XÓA DẤU NGOẶC,CÁC MÔ HÌNH THUẬT TOÁN,STACK,3
305,DSA07007,SO SÁNH BIỂU THỨC,CÁC MÔ HÌNH THUẬT TOÁN,STACK,3
306,DSA07018,TỔNG ĐA THỨC,CÁC MÔ HÌNH THUẬT TOÁN,STACK,3
307,DSA07024,GHÉP VÁN GỖ,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,STACK,3
308,DSA07030,HÌNH CHỮ NHẬT 0-1,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,STACK,3
309,DSA08010,BIẾN ĐỔI SỐ TỰ NHIÊN,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,3
310,DSA08012,TÌM SỐ K THỎA MÃN ĐIỀU KIỆN,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,3
311,DSA08020,BIẾN ĐỔI SỐ NGUYÊN TỐ,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,3
312,DSA08022,BỘI SỐ LỚN NHẤT CỦA 3,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,QUEUE,3
313,DSA08029,QUAY HÌNH VUÔNG,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,3
314,DSA09031,CHÚ CỪU XA CÁCH,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,3
315,DSA09034,ĐẾM SỐ AO,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,3
316,DSA09037,HỌP MẶT,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,3
317,DSA09049,LAN TRUYỀN DINH DƯỠNG,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,3
318,DSA10008,DIJKSTRA,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,3
319,DSA10009,FLOYD,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,3
320,DSA10011,DI CHUYỂN TRÊN BẢNG SỐ,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,3
321,DSA10012,ĐƯỜNG ĐI TRUNG BÌNH,CÁC MÔ HÌNH THUẬT TOÁN,GRAPH,3
322,DSA10015,KRUSKAL,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,3
323,DSA10017,CHU TRÌNH ÂM,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,3
324,DSA11006,DUYỆT CÂY KIỂU XOẮN ỐC,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
325,DSA11010,CÂY NHỊ PHÂN HOÀN HẢO,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
326,DSA11011,CÂY NHỊ PHÂN ĐỦ,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
327,DSA11012,CÂY NHỊ PHÂN BẰNG NHAU,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
328,DSA11014,TỔNG NODE LÁ BÊN PHẢI,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
329,DSA11015,TỔNG LỚN NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
330,DSA11016,BIẾN ĐỔI SANG CÂY NHỊ PHÂN TÌM KIẾM,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
331,DSA11017,DUYỆT CÂY NHỊ PHÂN TÌM KIẾM 1,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
332,DSA11018,XÂY DỰNG LẠI CÂY NHỊ PHÂN TÌM KIẾM,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
333,DSA11019,DUYỆT CÂY NHỊ PHÂN TÌM KIẾM 2,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
334,DSA11020,KIỂM TRA CÂY NHỊ PHÂN TÌM KIẾM,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
335,DSA11021,NODE LÁ CỦA CÂY NHỊ PHÂN TÌM KIẾM,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
336,DSA11022,NODE TRUNG GIAN CỦA CÂY NHỊ PHÂN TÌM KIẾM,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
337,DSA11023,ĐỘ SÂU CÂY NHỊ PHÂN TÌM KIẾM,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
338,DSA11024,CÂY NHỊ PHÂN TÌM KIẾM CÂN BẰNG 1,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
339,DSA11025,CÂY NHỊ PHÂN TÌM KIẾM CÂN BẰNG 2,CÁC MÔ HÌNH THUẬT TOÁN,BINARY TREE,3
340,DSA11026,DUYỆT SAU CÂY TÌM KIẾM CÂN BẰNG,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,BINARY TREE,3
341,DSA11027,ĐẾM SỐ NODE LÁ CÂY NHỊ PHÂN TÌM KIẾM CÂN BẰNG,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,BINARY TREE,3
342,DSA11028,ĐỘ CAO CỦA CÂY,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,BINARY TREE,3
343,DSA11029,ĐƯỜNG ĐI TỚI NODE LÁ,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,BINARY TREE,3
344,DSAKT060,TRUY VẤN ĐỐI XỨNG,CÁC CẤU TRÚC DỮ LIỆU NÂNG CAO,BINARY TREE,3
345,DSA_P035,HÀNH TRÌNH DU LỊCH - 2,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,4
346,DSA02014,TỪ ĐIỂN,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,4
347,DSA02018,BIỂU THỨC TOÁN HỌC,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,4
348,DSA02019,ĐƯỜNG ĐI DÀI NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,4
349,DSA02020,SỐ NHỎ NHẤT CÓ N ƯỚC SỐ,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,4
350,DSA02021,KÝ TỰ ĐẶC BIỆT,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,4
351,DSA05045,BÀI TOÁN CÁI TÚI KHÔNG NGUYÊN,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,4
352,DSA07015,TÍNH TOÁN GIÁ TRỊ BIỂU THỨC TRUNG TỐ,CÁC MÔ HÌNH THUẬT TOÁN,STACK,4
353,DSA07022,PHẦN TỬ CÓ SỐ LẦN XUẤT HIỆN NHIỀU HƠN BÊN PHẢI,CÁC MÔ HÌNH THUẬT TOÁN,STACK,4
354,DSA07045,GÕ BÀN PHÍM,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,STACK,4
355,DSA08011,KHOẢNG CÁCH XÂU KÝ TỰ,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,4
356,DSA08013,DI CHUYỂN TRÁNH VẬT CẢN,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,4
357,DSA08014,GIEO MẦM,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,4
358,DSA08015,DI CHUYỂN TRONG KHÔNG GIAN,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,4
359,DSA08045,HÀNG RÀO,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,4
360,DSA10016,NỐI ĐIỂM,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,GRAPH,4
361,DSA11030,KHOẢNG CÁCH GIỮA HAI NODE,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,BINARY TREE,4
362,DSA03033,ATM THẾ HỆ MỚI,CÁC MÔ HÌNH THUẬT TOÁN,GREEDY ALGORITHM,5
363,DSA04019,CẶP ĐIỂM GẦN NHẤT,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,5
364,DSA04030,SỐ TRIBONACCI,CÁC MÔ HÌNH THUẬT TOÁN,DEVIDE AND CONQUER ALGORITHM,5
365,DSA08016,HEXGAME,CÁC MÔ HÌNH THUẬT TOÁN,QUEUE,5
